Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Romania,26/04/2022 9:20,45.9432,24.9668,2888639,65428,2606660.00,,15015.52526,,,2.265011308,642,ROU,45900,515
Denmark,26/04/2022 9:20,56.2639,9.5018,3157631,6154,2934893.00,,54094.83944,,,0.194892943,208,DNK,65067,520
Greece,26/04/2022 9:20,39.0742,21.8243,3285970,28933,3178081.00,,31525.97472,,,0.880501039,300,GRC,328160,1592
Chile,26/04/2022 9:20,-35.6751,-71.543,3547977,57376,3385642.00,,18560.04504,,,1.617146898,152,CHL,92917,930
Switzerland,26/04/2022 9:20,46.8182,8.2275,3596855,13685,3410024.00,,41559.951,,,0.380471273,756,CHE,142970,160
Canada,26/04/2022 9:20,60.001,-95.001,3720853,38893,3431944.00,,9728.710174,,,1.045271071,124,CAN,261271,1385
Philippines,26/04/2022 9:20,12.879721,121.774017,3684712,60194,3613060.00,,3362.543819,,,1.633614785,608,PHL,7336,1164
South Africa,26/04/2022 9:20,-30.5595,22.9375,3764865,100333,3634446.00,,6347.914614,,,2.664982675,710,ZAF,51032,363
Belgium,26/04/2022 9:20,50.8333,4.469936,4036113,31382,3750766.00,,35119.10796,,,0.777530262,56,BEL,208344,572
Czechia,26/04/2022 9:20,49.8175,15.473,3898406,40102,3841914.00,,36403.14271,,,1.028676849,203,CZE,99248,492
Thailand,26/04/2022 9:20,15.870032,100.992541,4194684,28019,3999541.00,,6009.577825,,,0.6679645,764,THA,619286,3061
Austria,26/04/2022 9:20,47.5162,14.5501,4114558,18076,4008005.00,,45684.82413,,,0.439318148,40,AUT,361388,2348
Israel,26/04/2022 9:20,31.046051,34.851612,4064680,10694,4022613.00,,46960.43841,,,0.263095742,376,ISR,186156,188
Malaysia,26/04/2022 9:20,4.210484,101.975766,4433551,35507,4330037.00,,13698.17486,,,0.800870454,458,MYS,281348,665
Mexico,26/04/2022 9:20,23.6345,-102.5528,5733925,324134,5034909.00,,4486.91011,,,5.652916632,484,MEX,82372,1373
Poland,26/04/2022 9:20,51.9194,19.1451,5992820,115977,5334451.00,,15834.49823,,,1.935265868,616,POL,45870,1119
Australia,26/04/2022 9:20,-25,133,5756791,7052,5353033.00,,22611.38584,,,0.122498802,36,AUS,1374872,1126
Indonesia,26/04/2022 9:20,-0.7893,113.9213,6044467,156133,5879141.00,,2209.851924,,,2.583073082,360,IDN,42716,1359
Colombia,26/04/2022 9:20,4.5709,-74.2973,6091551,139780,5925040.00,,11971.70939,,,2.294653693,170,COL,7612,195
Iran,26/04/2022 9:20,32.427908,53.688046,7217117,140996,6972286.00,,8592.526804,,,1.953633286,364,IRN,63114,933
Japan,26/04/2022 9:20,36.204824,138.252924,7681363,29344,7223164.00,,6073.353983,,,0.382015536,392,JPN,1275305,1503
Netherlands,26/04/2022 9:20,52.3167,5.55,8220975,22853,7706638.00,,47978.03287,,,0.277984059,528,NLD,269444,328
Argentina,26/04/2022 9:20,-38.4161,-63.6167,9072230,128542,8895999.00,,20073.18073,,,1.416873249,32,ARG,43500,599
Spain,26/04/2022 9:20,40.463667,-3.74922,11786036,103908,11261340.00,,25208.19314,,,0.881619571,724,ESP,334360,1516
Italy,26/04/2022 9:20,41.8719,12.5674,16161339,162781,14755958.00,,26729.822,,,1.007224711,380,ITA,1765056,3904
Turkey,26/04/2022 9:20,38.9637,35.2433,15021151,98706,14888995.00,,17810.4306,,,0.657113426,792,TUR,206110,845
Russia,26/04/2022 9:20,61.524,105.3188,17887152,367692,17495382.00,,12256.97618,,,2.055620705,643,RUS,354970,7174
United Kingdom,26/04/2022 9:20,55,-3,22151465,174326,20954780.00,,32630.38579,,,0.78697278,826,GBR,1087154,9062
Germany,26/04/2022 9:20,51.165691,10.451526,24337394,134489,21665200.00,,29267.49435,,,0.552602304,276,DEU,4844722,6890
France,26/04/2022 9:20,46.2276,2.2137,28508116,146294,26083264.00,,43690.70436,,,0.513166145,250,FRA,3261396,3439
Brazil,26/04/2022 9:20,-14.235,-51.9253,30355919,662964,29411813.00,,14281.14575,,,2.183969459,76,BRA,498278,3737
India,26/04/2022 9:20,20.593684,78.96288,43062563,522275,42523311.00,,3120.465664,,,1.212828414,356,IND,38115,1153
US,26/04/2022 9:20,40,-100,81043362,991609,80506936.00,,24598.3781,,,1.223553633,840,USA,1041675,13331
Antarctica,26/04/2022 9:20,-71.9499,23.347,11,0,0.00,,,,,0,10,ATA,0,0
Burma,26/04/2022 9:20,21.9162,95.956,612770,19434,225849.00,,1126.212681,,,3.17149991,104,MMR,1749,4
Congo (Brazzaville),26/04/2022 9:20,-0.228,15.8277,24079,385,12421,,436.3645985,,,1.598903609,178,COG,10,1
Congo (Kinshasa),26/04/2022 9:20,-4.0383,21.7587,87023,1337,30043,,97.16573894,,,1.536375441,180,COD,395,2
